TOTAL
341
3286
24
1244
111
70
6
468
488
191
110
11
10
384
173
3014
27310
911
4118
4137
33
14
20
28
10
7
15
35
3
2
2
3
1
3
1
2
37
12
3
1
3
1
1
1
2
1
59
25
18
20
1
1
832
355
323
1119
202
4
3
121
28
16
11
11
3
586
595
20
57
51
4
1
30
19
1
1
1
2
16
4
1
6
2
1
88
5
4
4
2
9
3
2
49
1
2
11
5
3
19
117
378
1484
5385
21
88
50
1531
99
2
2
10
3
83
2
50
6
1
1698
22
12
1
2
6
1
569
33
3
1425
3
20
5
52
2
8
3
473
689
5
104
92
122
428
48
168
117
44
138
1789
33
3766
66
394
2
29
4
47
55
1130
5986
222
43
178
129
34
981
6
1560
75
42
120
758
125
37
6
89
162
98
1053
706
799
10
675
40
30
40
4
65
172
3
1
31
2
4
4
398
4
34
16
3
10
15
179
9
5
4
34
4
4
220
138
209
308
56
227
121
121
203
102
232
305
191
282
412
197
72
114
234
118
657
32
65
37
65
848
26
39
117
83
114
759
684
56
23
17
47
15
44
32
25
7
24
19
3
144
17
15
2
75
30
16
4
2
22
29
65
145
37
342
10
17
115
1027
519
129
378
1002
159
160
1438
331
4649
155
204
1310
6480
3267
9883
2176
202
559
1136
1426
1445
451
1703
716
1821
227
828
429
400
321
52
289
484
439
246
82
181
188
599
1175
26
77
745
25
127
170
31
39
24
40
20
41
42
105
239
6
33
28
15
228
21
5
18
119
13
37
15
30
44
208
120
66
45
73
37
28
654
86
140
588
395
95
68
35
564
981
277
59
345
32
50
1233
71
1055
79
19
64
56
245
41
21
30
40
15
16
244
9
22
46
1
18
24
23
4
32
122
157
19
17
28
12
82
100
18
28
27
24
292
30
34
6
10
9
1
50
39
22
20
40
6
16
76
218
186
30
33
4
17
58
145
74
5
77
4
5
2
1
19
5
10
12
1
11
85
23
17
1
1
6
16
1
2
1
1
1
1
5
1
6
3
1
2
3
36
1
32
16
6
1
536
10
1
28
1
1
41
6
1
2
4
1
18
4
1
1
1
1
1
10
2
6
3
2
2
5
4
9
1
4
3
1
2
1
1
35
1
2
3
8
1
5
2
11
1
1
7
2
1
1
1
2
5
8
1
3
1
4
1
1
21
1
1
19
10
4
1
17
2
1
1
1
1
3
8
24
2
1
14
2
4
1
2
2
11
2
2
1
1
23
1
42
6
48
1
3
2
21
3
3
13
24
3
18
8
5
8
5
1
2
12
3
119
13
11
1
2
251
5
13
1
8
13
3
16
8
10
96
10
3
3
1
34
1
8
2
1
5
1
2
1
58
10
3
2
2
1
2
2
10
1
37
3
4
5
50
18
3
44
29
2
4
1
24
15
75
176
2
1
6
1
1
6
1
1
20
9
24
14
3
1
6
2
2
2
2
2
7
8
6
11
7
17
2
8
11
7
4
3
1
7
6
79
13
5
5
22
4
12
12
8
127
8
54
89
169
12
34
7
14
3
18
2
1
5
1
7
12
1
1
4
31
3
1
1
9
2
1
1
1
1
3
28
8
6
15
47
279
2
4
4
6
103
5
1
9
21
22
73
37
16
8
5
11
4
73
6
9
8
5
3
11
25
15
3
3
157
36
3
1
22
4
5
1
5
4
1
3
2
33
8
1
172
5
343
4
4
6
1
1
2
795
359
11
6
26
25
29
675
63
4419
207
111
2815
372
1103
8
